scorecard_rank,amfi_code,scheme_name,fund_house,category,plan,composite_score,cagr_3yr_pct,sharpe_ratio,sortino_ratio,alpha_ann,beta,expense_ratio_pct,max_drawdown_pct
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,37.82,17.26,0.4943,0.8626,13.0429,0.0364,1.59,-17.57
29,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,36.92,8.01,0.4484,0.746,17.5007,0.1035,1.53,-23.34
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,32.95,4.06,-0.3566,-0.6135,5.0748,0.0013,0.55,-8.32
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,32.05,5.84,-0.2266,-0.3768,5.6209,-0.0064,0.77,-4.33
32,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,31.15,6.31,-0.8156,-1.681,6.0861,0.0003,0.79,-0.16
33,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,30.13,3.92,-0.5671,-0.9418,4.2818,0.0012,0.56,-4.31
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,25.77,7.75,0.076,0.1247,7.8044,0.0181,1.56,-24.0
35,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,22.18,-1.34,-0.0572,-0.0944,4.8824,0.062,0.72,-52.57
36,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,20.51,0.53,0.0308,0.0526,6.8995,0.0097,1.64,-14.4
37,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,20.26,-4.15,0.1627,0.2766,10.8971,-0.0653,1.53,-35.45
38,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,15.51,-11.7,-0.076,-0.1282,4.8016,-0.067,1.38,-51.68
39,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,12.31,-0.77,-0.2058,-0.3472,2.8969,-0.0421,1.51,-28.0
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,12.18,1.29,-0.2015,-0.351,3.7476,-0.0583,1.55,-24.73
